Collinsella tanakaei
Collinsella tanakaei_A
Colwellia marinimaniae
Colwellia psychrerythraea_A
Colwellia_A hornerae
Comamonas acidovorans
Comamonas kerstersii
Comamonas koreensis_A
Comamonas terrigena
Commensalibacter intestini
Companilactobacillus alimentarius
Companilactobacillus allii
Companilactobacillus heilongjiangensis
Companilactobacillus metriopterae
Companilactobacillus mindensis
Companilactobacillus mishanensis
Companilactobacillus nantensis
Companilactobacillus zhachilii
Conchiformibius steedae
Convivina intestini
Coprobacillus cateniformis
Coprobacter fastidiosus
Coprobacter secundus
Coprococcus eutactus
Coprococcus eutactus_A
Coprococcus_A catus
Coprococcus_A catus_A
Coprothermobacter proteolyticus
Corallincola holothuriorum
Corallococcus coralloides
Corallococcus silvisoli
Corticimicrobacter populi
Crateriforma conspicua
Crateriforma spongiae
Craterilacuibacter sinensis
Crenobacter cavernae
Crenobacter luteus
Cribrihabitans marinus
Croceibacterium atlanticum
Croceicoccus marinus
Croceicoccus mobilis
Croceicoccus naphthovorans
Croceicoccus pelagius
Croceivirga radicis
Cronobacter turicensis
Cruoricaptor ignavus
Cryobacterium breve
Cryobacterium flavum
Cryobacterium levicorallinum
Cryobacterium luteum
Cryobacterium psychrophilum
Cryobacterium psychrotolerans
Cryobacterium roopkundense
Cryobacterium zongtaii
Cupriavidus basilensis
Cupriavidus campinensis
Cupriavidus campinensis subspecies 1
Cupriavidus gilardii
Cupriavidus gilardii subspecies 1
Cupriavidus malaysiensis
Cupriavidus pauculus
Cupriavidus pinatubonensis
Curtobacterium citreum
Curtobacterium herbarum
Curtobacterium luteum
Curtobacterium pusillum
Curtobacterium pusillum_A
Cuspidothrix issatschenkoi
Cutibacterium namnetense
Cyanobium minutissimum
Cyanobium minutissimum subspecies 1
Cyanobium_A usitatum
Cyclobacterium marinum
Cyclobacterium qasimii
Cyclobacterium xiamenense
Cycloclasticus pugetii
Cysteiniphilum litorale
Cysteiniphilum marinum
Cytobacillus dafuensis
Cytobacillus gottheilii
Cytobacillus horneckiae
Cytobacillus kochii
Cytobacillus oceanisediminis_B
Cytobacillus oceanisediminis_D
Cytobacillus praedii
Cytobacillus solani
Cytophaga hutchinsonii
Dactylopiibacterium aquaticum
